Instrument Type,Date,Traded Contract(Lots),Total Value (Lacs),Premium Value (Lacs)
OPTFUT,03 Aug 2020,5471,43783.65,-
OPTCOM,03 Aug 2020,0,0.0,-
FUTCOM,03 Aug 2020,837075,3383293.44,-
FUTCOM,04 Aug 2020,1007988,4335655.25,-
OPTFUT,04 Aug 2020,8911,78474.85,-
OPTCOM,04 Aug 2020,4,22.33,-
FUTCOM,05 Aug 2020,1216997,5451244.0,-
OPTFUT,05 Aug 2020,12926,131467.37,-
OPTCOM,05 Aug 2020,0,0.0,-
OPTCOM,06 Aug 2020,0,0.0,-
OPTFUT,06 Aug 2020,8591,94193.77,-
FUTCOM,06 Aug 2020,1132944,5313098.49,-
OPTFUT,07 Aug 2020,8661,101828.35,-
FUTCOM,07 Aug 2020,1311478,5819297.34,-
OPTCOM,07 Aug 2020,0,0.0,-
OPTCOM,10 Aug 2020,0,0.0,-
FUTCOM,10 Aug 2020,879578,3948622.3,-
OPTFUT,10 Aug 2020,6662,60234.39,-
OPTCOM,11 Aug 2020,6,33.19,-
FUTCOM,11 Aug 2020,1371198,6400705.69,-
OPTFUT,11 Aug 2020,12388,229717.67,-
OPTCOM,12 Aug 2020,3,16.73,-
FUTCOM,12 Aug 2020,1432057,5929839.69,-
OPTFUT,12 Aug 2020,12208,231819.8,-
FUTCOM,13 Aug 2020,1002359,4093003.99,-
OPTFUT,13 Aug 2020,9302,139790.99,-
OPTCOM,13 Aug 2020,6,32.36,-
FUTCOM,14 Aug 2020,1032248,4067483.48,-
OPTFUT,14 Aug 2020,8226,130705.7,-
OPTCOM,14 Aug 2020,2,10.75,-
OPTFUT,17 Aug 2020,8771,139153.7,-
FUTCOM,17 Aug 2020,930877,3700243.49,-
OPTCOM,17 Aug 2020,1,5.41,-
OPTCOM,18 Aug 2020,15,81.34,-
FUTCOM,18 Aug 2020,1164237,4890931.26,-
OPTFUT,18 Aug 2020,6685,170860.72,-
OPTCOM,19 Aug 2020,4,21.66,-
FUTCOM,19 Aug 2020,975045,3998852.61,-
OPTFUT,19 Aug 2020,5493,135718.61,-
OPTFUT,20 Aug 2020,6719,156184.43,-
FUTCOM,20 Aug 2020,866854,3750769.48,-
OPTCOM,20 Aug 2020,9,48.71,-
FUTCOM,21 Aug 2020,1005704,4212204.7,-
OPTCOM,21 Aug 2020,3,15.91,-
OPTFUT,21 Aug 2020,8502,175523.51,-
OPTCOM,24 Aug 2020,3,15.54,-
FUTIDX,24 Aug 2020,6224,50435.69,-
FUTCOM,24 Aug 2020,839983,3541233.8,-
OPTFUT,24 Aug 2020,5585,136476.37,-
OPTFUT,25 Aug 2020,7307,135336.7,-
FUTIDX,25 Aug 2020,3305,26464.65,-
FUTCOM,25 Aug 2020,739361,3176871.64,-
OPTCOM,25 Aug 2020,0,0.0,-
OPTCOM,26 Aug 2020,1,5.25,-
FUTIDX,26 Aug 2020,4571,36539.8,-
OPTFUT,26 Aug 2020,8775,207154.69,-
FUTCOM,26 Aug 2020,891787,3825983.56,-
FUTIDX,27 Aug 2020,5218,42092.19,-
FUTCOM,27 Aug 2020,1019126,4417894.55,-
OPTFUT,27 Aug 2020,8663,201978.42,-
OPTCOM,27 Aug 2020,1,5.03,-
FUTIDX,28 Aug 2020,4093,32937.48,-
OPTCOM,28 Aug 2020,0,0.0,-
OPTFUT,28 Aug 2020,4641,125984.38,-
FUTCOM,28 Aug 2020,782484,3647510.94,-
FUTCOM,31 Aug 2020,708314,2945361.51,-
FUTIDX,31 Aug 2020,2893,23493.66,-
OPTFUT,31 Aug 2020,4542,73111.33,-
OPTCOM,31 Aug 2020,2,10.41,-
OPTCOM,01 Sep 2020,21,111.22,-
FUTIDX,01 Sep 2020,2831,23159.99,-
OPTFUT,01 Sep 2020,4840,105957.81,-
FUTCOM,01 Sep 2020,734282,2976851.38,-
FUTIDX,02 Sep 2020,3489,28064.78,-
OPTFUT,02 Sep 2020,6762,148860.83,-
OPTCOM,02 Sep 2020,59,309.77,-
FUTCOM,02 Sep 2020,924677,3569146.87,-
OPTCOM,03 Sep 2020,149,775.23,-
FUTCOM,03 Sep 2020,956007,3838091.06,-
OPTFUT,03 Sep 2020,7765,124564.47,-
FUTIDX,03 Sep 2020,2433,19363.68,-
FUTCOM,04 Sep 2020,885996,3547891.78,-
OPTCOM,04 Sep 2020,202,1050.32,-
OPTFUT,04 Sep 2020,7296,129912.14,-
FUTIDX,04 Sep 2020,2455,19474.17,-
FUTCOM,07 Sep 2020,522454,2103237.44,-
OPTFUT,07 Sep 2020,4701,79034.24,-
OPTCOM,07 Sep 2020,104,539.88,-
FUTIDX,07 Sep 2020,1283,10231.85,-
FUTIDX,08 Sep 2020,3386,27001.39,-
OPTFUT,08 Sep 2020,8784,141207.37,-
FUTCOM,08 Sep 2020,980401,4023954.87,-
OPTCOM,08 Sep 2020,152,790.02,-
OPTFUT,09 Sep 2020,6023,96389.72,-
FUTCOM,09 Sep 2020,845337,3274353.31,-
FUTIDX,09 Sep 2020,2956,23685.83,-
OPTCOM,09 Sep 2020,234,1216.73,-
FUTCOM,10 Sep 2020,807528,3338716.16,-
FUTIDX,10 Sep 2020,3170,25638.9,-
OPTCOM,10 Sep 2020,172,896.84,-
OPTFUT,10 Sep 2020,8133,137007.91,-
FUTCOM,11 Sep 2020,718942,2962361.15,-
OPTCOM,11 Sep 2020,105,545.73,-
OPTFUT,11 Sep 2020,6007,90458.78,-
FUTIDX,11 Sep 2020,2398,19301.02,-
OPTFUT,14 Sep 2020,5271,91102.02,-
FUTCOM,14 Sep 2020,725171,2953467.66,-
OPTCOM,14 Sep 2020,86,450.02,-
FUTIDX,14 Sep 2020,2630,21248.9,-
OPTCOM,15 Sep 2020,325,1692.97,-
FUTIDX,15 Sep 2020,2867,23314.06,-
FUTCOM,15 Sep 2020,745139,3156991.22,-
OPTFUT,15 Sep 2020,5921,125269.41,-
FUTIDX,16 Sep 2020,2688,21842.88,-
OPTFUT,16 Sep 2020,7598,90718.81,-
FUTCOM,16 Sep 2020,685353,2880688.61,-
OPTCOM,16 Sep 2020,179,936.04,-
OPTCOM,17 Sep 2020,243,1269.83,-
FUTIDX,17 Sep 2020,3425,27514.2,-
OPTFUT,17 Sep 2020,8278,134270.19,-
FUTCOM,17 Sep 2020,857900,3471982.93,-
OPTCOM,18 Sep 2020,384,1993.9,-
FUTIDX,18 Sep 2020,2290,18475.4,-
OPTFUT,18 Sep 2020,3403,108934.73,-
FUTCOM,18 Sep 2020,732733,2884843.63,-
FUTCOM,21 Sep 2020,1131803,4595756.57,-
FUTIDX,21 Sep 2020,4759,37431.18,-
OPTFUT,21 Sep 2020,7950,282507.77,-
OPTCOM,21 Sep 2020,525,2740.84,-
FUTCOM,22 Sep 2020,987575,3602808.97,-
OPTFUT,22 Sep 2020,4791,149443.76,-
OPTCOM,22 Sep 2020,390,2008.65,-
FUTIDX,22 Sep 2020,2977,22966.36,-
OPTCOM,23 Sep 2020,533,2730.15,-
FUTIDX,23 Sep 2020,4374,33295.38,-
FUTCOM,23 Sep 2020,1077667,4176092.22,-
OPTFUT,23 Sep 2020,8795,334550.82,-
FUTCOM,24 Sep 2020,1021068,3898161.89,-
OPTFUT,24 Sep 2020,2514,40219.89,-
FUTIDX,24 Sep 2020,2784,20949.07,-
OPTCOM,24 Sep 2020,376,1912.67,-
FUTIDX,25 Sep 2020,2697,20395.75,-
OPTCOM,25 Sep 2020,567,2879.41,-
FUTCOM,25 Sep 2020,796414,3116826.35,-
OPTFUT,25 Sep 2020,1873,24441.86,-
FUTIDX,28 Sep 2020,3155,23923.42,-
OPTFUT,28 Sep 2020,2805,36164.98,-
FUTCOM,28 Sep 2020,842222,3557920.89,-
OPTCOM,28 Sep 2020,336,1704.47,-
FUTIDX,29 Sep 2020,3308,25521.81,-
FUTCOM,29 Sep 2020,886257,3344819.0,-
OPTCOM,29 Sep 2020,101,512.27,-
OPTFUT,29 Sep 2020,5134,56518.81,-
FUTIDX,30 Sep 2020,3307,25490.09,-
FUTCOM,30 Sep 2020,952542,3487103.88,-
OPTFUT,30 Sep 2020,3401,36324.51,-
OPTCOM,30 Sep 2020,2219,11793.48,-
OPTFUT,01 Oct 2020,5687,43614.22,-
FUTIDX,01 Oct 2020,3092,23805.54,-
FUTCOM,01 Oct 2020,907389,3504823.21,-
OPTCOM,01 Oct 2020,209,1069.03,-
OPTFUT,05 Oct 2020,4984,41556.84,-
OPTCOM,05 Oct 2020,398,2038.09,-
FUTCOM,05 Oct 2020,883711,3327822.16,-
FUTIDX,05 Oct 2020,2455,18938.99,-
OPTFUT,06 Oct 2020,5156,43131.97,-
FUTIDX,06 Oct 2020,2895,22506.67,-
FUTCOM,06 Oct 2020,895498,3365123.2,-
OPTCOM,06 Oct 2020,163,840.15,-
OPTCOM,07 Oct 2020,186,956.07,-
OPTFUT,07 Oct 2020,6850,66115.8,-
FUTIDX,07 Oct 2020,3277,25069.22,-
FUTCOM,07 Oct 2020,962328,3677433.03,-
FUTCOM,08 Oct 2020,857446,3229682.49,-
OPTFUT,08 Oct 2020,7213,50170.96,-
FUTIDX,08 Oct 2020,2782,21363.79,-
OPTCOM,08 Oct 2020,199,1021.31,-
OPTFUT,09 Oct 2020,6829,74382.54,-
OPTCOM,09 Oct 2020,272,1390.67,-
FUTCOM,09 Oct 2020,847619,3335813.42,-
FUTIDX,09 Oct 2020,3468,26979.57,-
OPTFUT,12 Oct 2020,5739,48169.44,-
OPTCOM,12 Oct 2020,222,1135.99,-
FUTIDX,12 Oct 2020,2365,18593.79,-
FUTCOM,12 Oct 2020,738562,2838100.71,-
FUTCOM,13 Oct 2020,913122,3596820.28,-
FUTIDX,13 Oct 2020,2949,22902.27,-
OPTCOM,13 Oct 2020,255,1316.53,-
OPTFUT,13 Oct 2020,5742,57863.84,-
FUTIDX,14 Oct 2020,2876,22249.95,-
OPTCOM,14 Oct 2020,229,1169.94,-
FUTCOM,14 Oct 2020,804711,3178210.1,-
OPTFUT,14 Oct 2020,6177,43040.64,-
FUTCOM,15 Oct 2020,875341,3454608.41,-
OPTFUT,15 Oct 2020,5935,44135.31,-
OPTCOM,15 Oct 2020,217,1109.45,-
FUTIDX,15 Oct 2020,2482,19157.17,-
OPTFUT,16 Oct 2020,1011,21525.73,-
FUTIDX,16 Oct 2020,2221,17246.51,-
FUTCOM,16 Oct 2020,705799,2760100.21,-
OPTCOM,16 Oct 2020,250,1279.55,-
FUTCOM,19 Oct 2020,751740,2933126.56,-
FUTIDX,19 Oct 2020,4167,29461.38,-
OPTCOM,19 Oct 2020,392,1996.98,-
OPTFUT,19 Oct 2020,1403,25570.22,-
FUTIDX,20 Oct 2020,4243,30835.65,-
OPTCOM,20 Oct 2020,215,1104.07,-
OPTFUT,20 Oct 2020,1796,32181.97,-
FUTCOM,20 Oct 2020,763487,3205622.54,-
OPTFUT,21 Oct 2020,2702,54857.1,-
FUTIDX,21 Oct 2020,4998,36860.18,-
OPTCOM,21 Oct 2020,261,1344.48,-
FUTCOM,21 Oct 2020,804710,3476691.46,-
OPTFUT,22 Oct 2020,2402,45446.66,-
FUTCOM,22 Oct 2020,732474,3116872.89,-
FUTIDX,22 Oct 2020,4088,29959.24,-
OPTCOM,22 Oct 2020,260,1341.76,-
OPTCOM,23 Oct 2020,378,1930.25,-
OPTFUT,23 Oct 2020,2277,37200.65,-
FUTCOM,23 Oct 2020,720086,3065759.39,-
FUTIDX,23 Oct 2020,3418,24960.42,-
OPTFUT,26 Oct 2020,2280,32268.62,-
FUTIDX,26 Oct 2020,3836,29151.53,-
FUTCOM,26 Oct 2020,741701,3024505.04,-
OPTCOM,26 Oct 2020,482,2462.01,-
OPTCOM,27 Oct 2020,765,3930.85,-
FUTIDX,27 Oct 2020,3392,25463.3,-
FUTCOM,27 Oct 2020,694526,2930922.31,-
OPTFUT,27 Oct 2020,2195,27530.6,-
FUTCOM,28 Oct 2020,922502,3934805.11,-
OPTCOM,28 Oct 2020,894,4596.53,-
FUTIDX,28 Oct 2020,5320,39333.69,-
OPTFUT,28 Oct 2020,4081,66928.24,-
FUTIDX,29 Oct 2020,4935,36745.38,-
OPTCOM,29 Oct 2020,241,1233.1,-
OPTFUT,29 Oct 2020,4196,53358.29,-
FUTCOM,29 Oct 2020,1014091,4013851.01,-
FUTIDX,30 Oct 2020,4751,35139.19,-
OPTCOM,30 Oct 2020,333,1701.44,-
FUTCOM,30 Oct 2020,840850,3349107.81,-
OPTFUT,30 Oct 2020,2598,47534.69,-
OPTFUT,02 Nov 2020,2877,47767.86,-
OPTCOM,02 Nov 2020,410,2105.87,-
FUTIDX,02 Nov 2020,3868,28773.6,-
FUTCOM,02 Nov 2020,846581,3335593.75,-
OPTCOM,03 Nov 2020,2557,13500.02,-
FUTCOM,03 Nov 2020,827704,3295211.33,-
OPTFUT,03 Nov 2020,5719,114475.41,-
FUTIDX,03 Nov 2020,4271,32014.14,-
FUTIDX,04 Nov 2020,6170,46307.61,-
FUTCOM,04 Nov 2020,1027407,4122697.87,-
OPTCOM,04 Nov 2020,420,2174.78,-
OPTFUT,04 Nov 2020,6181,121501.75,-
FUTCOM,05 Nov 2020,978668,3862399.63,-
OPTCOM,05 Nov 2020,1654,8678.25,-
OPTFUT,05 Nov 2020,6136,140037.97,-
FUTIDX,05 Nov 2020,5578,42706.73,-
OPTCOM,06 Nov 2020,1014,5358.08,-
OPTFUT,06 Nov 2020,7946,144103.23,-
FUTCOM,06 Nov 2020,1097037,4234816.14,-
FUTIDX,06 Nov 2020,5739,44594.14,-
OPTFUT,09 Nov 2020,16549,350887.34,-
OPTCOM,09 Nov 2020,2318,12226.28,-
FUTIDX,09 Nov 2020,9364,71892.49,-
FUTCOM,09 Nov 2020,1378593,5539167.98,-
FUTCOM,10 Nov 2020,1024813,4001934.99,-
FUTIDX,10 Nov 2020,4758,35746.13,-
OPTCOM,10 Nov 2020,540,2748.45,-
OPTFUT,10 Nov 2020,8809,137480.25,-
FUTIDX,11 Nov 2020,4203,31350.56,-
OPTCOM,11 Nov 2020,545,2785.9,-
FUTCOM,11 Nov 2020,883448,3541304.82,-
OPTFUT,11 Nov 2020,8169,103278.72,-
OPTCOM,12 Nov 2020,344,1755.12,-
FUTCOM,12 Nov 2020,760229,3138739.23,-
OPTFUT,12 Nov 2020,5843,103899.16,-
FUTIDX,12 Nov 2020,3116,23378.92,-
OPTFUT,13 Nov 2020,6295,83110.83,-
OPTCOM,13 Nov 2020,286,1465.11,-
FUTIDX,13 Nov 2020,2938,21943.72,-
FUTCOM,13 Nov 2020,713904,2895928.41,-
OPTCOM,14 Nov 2020,10,51.23,-
OPTFUT,14 Nov 2020,280,4668.51,-
FUTCOM,14 Nov 2020,38909,172233.16,-
FUTIDX,14 Nov 2020,273,2050.27,-
OPTCOM,16 Nov 2020,133,682.12,-
FUTCOM,16 Nov 2020,537745,2127680.16,-
OPTFUT,16 Nov 2020,4509,78033.54,-
FUTIDX,16 Nov 2020,2714,20670.8,-
FUTCOM,17 Nov 2020,725349,2951755.19,-
OPTFUT,17 Nov 2020,7753,102865.6,-
OPTCOM,17 Nov 2020,296,1513.64,-
FUTIDX,17 Nov 2020,2806,21178.14,-
FUTCOM,18 Nov 2020,843618,3457022.82,-
FUTIDX,18 Nov 2020,4377,32642.71,-
OPTCOM,18 Nov 2020,750,3829.77,-
OPTFUT,18 Nov 2020,4007,126979.64,-
OPTCOM,19 Nov 2020,820,4162.21,-
FUTCOM,19 Nov 2020,906695,3652953.17,-
OPTFUT,19 Nov 2020,4701,152197.92,-
FUTIDX,19 Nov 2020,4240,31930.66,-
OPTCOM,20 Nov 2020,501,2543.1,-
FUTIDX,20 Nov 2020,3435,25565.41,-
OPTFUT,20 Nov 2020,4284,124022.13,-
FUTCOM,20 Nov 2020,774888,3151641.3,-
FUTIDX,23 Nov 2020,4136,31059.24,-
OPTFUT,23 Nov 2020,5800,163155.13,-
OPTCOM,23 Nov 2020,1408,7140.0,-
FUTCOM,23 Nov 2020,800771,3692500.41,-
OPTFUT,24 Nov 2020,7965,216700.4,-
OPTCOM,24 Nov 2020,1755,8803.95,-
FUTIDX,24 Nov 2020,4416,32475.69,-
FUTCOM,24 Nov 2020,775330,3782134.33,-
OPTFUT,25 Nov 2020,6560,170677.69,-
OPTCOM,25 Nov 2020,765,3796.01,-
FUTIDX,25 Nov 2020,3565,26342.29,-
FUTCOM,25 Nov 2020,698973,3183068.52,-
OPTFUT,26 Nov 2020,2171,19170.92,-
OPTCOM,26 Nov 2020,430,2138.55,-
FUTCOM,26 Nov 2020,528978,2489969.77,-
FUTIDX,26 Nov 2020,2355,17260.62,-
FUTIDX,27 Nov 2020,3622,26261.5,-
OPTCOM,27 Nov 2020,536,2648.12,-
FUTCOM,27 Nov 2020,815519,3720071.63,-
OPTFUT,27 Nov 2020,2380,37854.09,-
FUTCOM,30 Nov 2020,555813,2281811.66,-
FUTIDX,30 Nov 2020,2764,19823.33,-
OPTFUT,30 Nov 2020,2177,22119.6,-
OPTCOM,30 Nov 2020,263,1316.08,-
FUTCOM,01 Dec 2020,778967,3138184.53,-
FUTIDX,01 Dec 2020,4666,34060.84,-
OPTCOM,01 Dec 2020,206,1017.09,-
OPTFUT,01 Dec 2020,3662,39201.47,-
FUTIDX,02 Dec 2020,5448,40162.89,-
OPTCOM,02 Dec 2020,554,2727.17,-
FUTCOM,02 Dec 2020,875605,3378014.99,-
OPTFUT,02 Dec 2020,4149,47087.08,-
OPTCOM,03 Dec 2020,935,4623.47,-
FUTCOM,03 Dec 2020,930256,3495870.92,-
FUTIDX,03 Dec 2020,6542,48699.21,-
OPTFUT,03 Dec 2020,4542,76628.5,-
FUTCOM,04 Dec 2020,762406,3006722.11,-
OPTCOM,04 Dec 2020,248,1243.4,-
OPTFUT,04 Dec 2020,4617,61350.94,-
FUTIDX,04 Dec 2020,5069,37791.05,-
FUTIDX,07 Dec 2020,4718,35306.18,-
OPTFUT,07 Dec 2020,5601,109217.49,-
OPTCOM,07 Dec 2020,556,2780.12,-
FUTCOM,07 Dec 2020,798297,2834600.56,-
FUTCOM,08 Dec 2020,683975,2487559.05,-
OPTFUT,08 Dec 2020,5606,63404.23,-
OPTCOM,08 Dec 2020,290,1466.89,-
FUTIDX,08 Dec 2020,4694,35539.47,-
FUTIDX,09 Dec 2020,6793,51122.68,-
OPTFUT,09 Dec 2020,6959,79818.75,-
FUTCOM,09 Dec 2020,791960,3039492.19,-
OPTCOM,09 Dec 2020,316,1593.56,-
OPTCOM,10 Dec 2020,333,1667.79,-
FUTCOM,10 Dec 2020,764477,2957269.97,-
OPTFUT,10 Dec 2020,7644,59464.36,-
FUTIDX,10 Dec 2020,5268,39282.46,-
OPTFUT,11 Dec 2020,4532,38659.75,-
OPTCOM,11 Dec 2020,152,760.41,-
FUTCOM,11 Dec 2020,700373,2814968.63,-
FUTIDX,11 Dec 2020,4852,35974.98,-
FUTIDX,14 Dec 2020,5276,39263.01,-
FUTCOM,14 Dec 2020,687510,2710265.72,-
OPTCOM,14 Dec 2020,227,1129.42,-
OPTFUT,14 Dec 2020,7082,53423.97,-
FUTIDX,15 Dec 2020,4523,33792.65,-
OPTFUT,15 Dec 2020,7950,61090.81,-
OPTCOM,15 Dec 2020,200,996.67,-
FUTCOM,15 Dec 2020,691897,2781213.36,-
FUTIDX,16 Dec 2020,5033,38174.34,-
FUTCOM,16 Dec 2020,811507,3177936.7,-
OPTCOM,16 Dec 2020,273,1363.55,-
OPTFUT,16 Dec 2020,7903,73456.49,-
OPTFUT,17 Dec 2020,3959,138262.65,-
OPTCOM,17 Dec 2020,481,2409.57,-
FUTIDX,17 Dec 2020,5565,42810.69,-
FUTCOM,17 Dec 2020,846720,3369574.7,-
OPTCOM,18 Dec 2020,165,831.0,-
FUTCOM,18 Dec 2020,612360,2467027.11,-
FUTIDX,18 Dec 2020,4276,32819.27,-
OPTFUT,18 Dec 2020,1944,41787.36,-
OPTCOM,21 Dec 2020,362,1825.24,-
OPTFUT,21 Dec 2020,5591,143380.56,-
FUTCOM,21 Dec 2020,1139896,4609889.55,-
FUTIDX,21 Dec 2020,7401,57277.34,-
FUTCOM,22 Dec 2020,859077,3453692.36,-
OPTCOM,22 Dec 2020,358,1802.11,-
FUTIDX,22 Dec 2020,5252,40368.63,-
OPTFUT,22 Dec 2020,3416,86371.04,-
OPTCOM,23 Dec 2020,351,1764.82,-
FUTIDX,23 Dec 2020,4705,35816.78,-
FUTCOM,23 Dec 2020,806540,3242558.23,-
OPTFUT,23 Dec 2020,4834,70474.71,-
OPTFUT,24 Dec 2020,2560,29574.12,-
FUTIDX,24 Dec 2020,2887,22041.27,-
FUTCOM,24 Dec 2020,638288,2413025.67,-
OPTCOM,24 Dec 2020,234,1174.9,-
FUTCOM,28 Dec 2020,721638,2672468.1,-
FUTIDX,28 Dec 2020,4746,36839.86,-
OPTFUT,28 Dec 2020,4602,91160.97,-
OPTCOM,28 Dec 2020,334,1679.34,-
OPTFUT,29 Dec 2020,2856,38750.9,-
FUTCOM,29 Dec 2020,732153,2845419.68,-
OPTCOM,29 Dec 2020,134,670.47,-
FUTIDX,29 Dec 2020,4997,38003.77,-
OPTFUT,30 Dec 2020,3702,48962.63,-
FUTIDX,30 Dec 2020,3274,24935.13,-
FUTCOM,30 Dec 2020,571925,2248940.09,-
OPTCOM,30 Dec 2020,260,1285.58,-
FUTCOM,31 Dec 2020,517458,2037629.73,-
FUTIDX,31 Dec 2020,2748,20958.81,-
OPTCOM,31 Dec 2020,76,380.67,-
OPTFUT,31 Dec 2020,2474,39129.81,-
FUTCOM,01 Jan 2019,171863,358533.33,-
OPTFUT,01 Jan 2019,1246,6202.88,-
OPTFUT,02 Jan 2019,9541,46649.72,-
FUTCOM,02 Jan 2019,1504243,3011890.61,-
OPTFUT,03 Jan 2019,8206,47496.54,-
FUTCOM,03 Jan 2019,1384855,2878001.64,-
OPTFUT,04 Jan 2019,10329,55899.07,-
FUTCOM,04 Jan 2019,1465856,3108355.38,-
FUTCOM,07 Jan 2019,1307854,2765216.0,-
OPTFUT,07 Jan 2019,8829,49675.39,-
OPTFUT,08 Jan 2019,8306,41862.93,-
FUTCOM,08 Jan 2019,1233497,2636820.51,-
OPTFUT,09 Jan 2019,18518,91523.11,-
FUTCOM,09 Jan 2019,1395908,3055434.86,-
OPTFUT,10 Jan 2019,8368,57166.47,-
FUTCOM,10 Jan 2019,1232675,2761083.35,-
OPTFUT,11 Jan 2019,10466,49737.49,-
FUTCOM,11 Jan 2019,1211744,2643641.45,-
OPTFUT,14 Jan 2019,7887,49960.47,-
FUTCOM,14 Jan 2019,1185483,2633236.14,-
OPTFUT,15 Jan 2019,8620,51757.28,-
FUTCOM,15 Jan 2019,1098758,2584604.14,-
OPTFUT,16 Jan 2019,13916,62605.5,-
FUTCOM,16 Jan 2019,1275955,2927079.48,-
FUTCOM,17 Jan 2019,1188113,2732904.84,-
OPTFUT,17 Jan 2019,3762,39959.25,-
FUTCOM,18 Jan 2019,1224982,2906783.02,-
OPTFUT,18 Jan 2019,4675,34299.1,-
OPTFUT,21 Jan 2019,2941,26162.48,-
FUTCOM,21 Jan 2019,847243,2106084.5,-
FUTCOM,22 Jan 2019,1097222,2702075.0,-
OPTFUT,22 Jan 2019,4050,31932.84,-
FUTCOM,23 Jan 2019,1161784,2660710.29,-
OPTFUT,23 Jan 2019,3428,26043.96,-
OPTFUT,24 Jan 2019,4375,34374.44,-
FUTCOM,24 Jan 2019,1151894,2701984.31,-
OPTFUT,25 Jan 2019,4623,56992.86,-
FUTCOM,25 Jan 2019,1070171,2772405.27,-
OPTFUT,28 Jan 2019,4765,51613.73,-
FUTCOM,28 Jan 2019,1016945,2474309.42,-
FUTCOM,29 Jan 2019,1183261,2870503.18,-
OPTFUT,29 Jan 2019,6075,68288.3,-
OPTFUT,30 Jan 2019,5050,34432.76,-
FUTCOM,30 Jan 2019,1096812,2657901.86,-
FUTCOM,31 Jan 2019,1083515,2939422.2,-
OPTFUT,31 Jan 2019,4626,32636.51,-
OPTFUT,01 Feb 2019,6550,65370.78,-
FUTCOM,01 Feb 2019,1205078,3041492.31,-
FUTCOM,04 Feb 2019,1178897,2649969.11,-
OPTFUT,04 Feb 2019,7183,42309.23,-
OPTFUT,05 Feb 2019,6057,32591.9,-
FUTCOM,05 Feb 2019,1257754,2837563.27,-
OPTFUT,06 Feb 2019,6507,43955.69,-
FUTCOM,06 Feb 2019,1224051,2668604.04,-
FUTCOM,07 Feb 2019,1219703,2762901.56,-
OPTFUT,07 Feb 2019,8368,56092.65,-
OPTFUT,08 Feb 2019,5942,45264.67,-
FUTCOM,08 Feb 2019,1045653,2378367.65,-
FUTCOM,11 Feb 2019,1107404,2468601.78,-
OPTFUT,11 Feb 2019,6987,45914.28,-
FUTCOM,12 Feb 2019,1169985,2605321.76,-
OPTFUT,12 Feb 2019,7709,47204.96,-
FUTCOM,13 Feb 2019,1154757,2610976.76,-
OPTFUT,13 Feb 2019,6637,38879.42,-
OPTFUT,14 Feb 2019,7215,39039.78,-
FUTCOM,14 Feb 2019,1241737,2774954.33,-
OPTFUT,15 Feb 2019,11308,65176.52,-
FUTCOM,15 Feb 2019,1153178,2698176.61,-
OPTFUT,18 Feb 2019,3679,32692.54,-
FUTCOM,18 Feb 2019,887006,2161777.49,-
FUTCOM,19 Feb 2019,1074493,2702984.75,-
OPTFUT,19 Feb 2019,4682,55605.7,-
OPTFUT,20 Feb 2019,5079,53971.0,-
FUTCOM,20 Feb 2019,1029016,2573973.36,-
OPTFUT,21 Feb 2019,4572,43962.21,-
FUTCOM,21 Feb 2019,1083881,2982323.25,-
FUTCOM,22 Feb 2019,1003959,2693916.72,-
OPTFUT,22 Feb 2019,4448,30924.48,-
FUTCOM,25 Feb 2019,1160197,2799134.59,-
OPTFUT,25 Feb 2019,7543,44264.0,-
OPTFUT,26 Feb 2019,5884,51649.1,-
FUTCOM,26 Feb 2019,1057554,2787069.61,-
FUTCOM,27 Feb 2019,1007482,2786265.2,-
OPTFUT,27 Feb 2019,5945,39385.39,-
OPTFUT,28 Feb 2019,4651,54876.22,-
FUTCOM,28 Feb 2019,1095009,3061063.38,-
OPTFUT,01 Mar 2019,7790,85840.49,-
FUTCOM,01 Mar 2019,1228496,3170936.9,-
OPTFUT,04 Mar 2019,3677,56875.72,-
FUTCOM,04 Mar 2019,645526,1569670.03,-
FUTCOM,05 Mar 2019,1109371,2791711.9,-
OPTFUT,05 Mar 2019,6636,84572.07,-
FUTCOM,06 Mar 2019,1161526,2936815.18,-
OPTFUT,06 Mar 2019,8421,83508.82,-
FUTCOM,07 Mar 2019,1059941,2750882.52,-
OPTFUT,07 Mar 2019,6991,65137.26,-
OPTFUT,08 Mar 2019,11115,81124.24,-
FUTCOM,08 Mar 2019,1180644,2829582.47,-
OPTFUT,11 Mar 2019,7897,63400.66,-
FUTCOM,11 Mar 2019,1061104,2647062.57,-
OPTFUT,12 Mar 2019,7133,50018.43,-
FUTCOM,12 Mar 2019,1089807,2779544.68,-
FUTCOM,13 Mar 2019,1039069,2761282.85,-
OPTFUT,13 Mar 2019,7762,58424.97,-
FUTCOM,14 Mar 2019,1168125,3001484.55,-
OPTFUT,14 Mar 2019,9073,74477.61,-
FUTCOM,15 Mar 2019,1179661,2873591.95,-
OPTFUT,15 Mar 2019,10851,69134.35,-
OPTFUT,18 Mar 2019,3244,46051.97,-
FUTCOM,18 Mar 2019,1024482,2577302.72,-
OPTFUT,19 Mar 2019,3683,46442.68,-
FUTCOM,19 Mar 2019,1036150,2716768.88,-
OPTFUT,20 Mar 2019,4013,46658.54,-
FUTCOM,20 Mar 2019,1128039,2845483.88,-
OPTFUT,21 Mar 2019,1829,26136.5,-
FUTCOM,21 Mar 2019,655064,1625679.45,-
