Instrument Type,Date,Traded Contract(Lots),Total Value (Lacs),Premium Value (Lacs)
OPTFUT,03 Jun 2024,3183339,18271342.78,-
OPTFUT,04 Jun 2024,2394269,13069641.54,-
FUTIDX,04 Jun 2024,123,1147.77,-
FUTCOM,04 Jun 2024,690109,2719714.76,-
FUTIDX,05 Jun 2024,179,1666.92,-
FUTCOM,05 Jun 2024,578368,2240856.47,-
OPTFUT,05 Jun 2024,2588813,14246264.15,-
FUTCOM,06 Jun 2024,727303,2792474.33,-
OPTFUT,06 Jun 2024,3142228,17837294.04,-
FUTIDX,06 Jun 2024,218,2061.92,-
FUTCOM,07 Jun 2024,992345,4579205.6,-
FUTIDX,07 Jun 2024,335,3133.88,-
OPTFUT,07 Jun 2024,2942766,18010637.09,-
FUTCOM,10 Jun 2024,633084,2546120.31,-
FUTIDX,10 Jun 2024,162,1493.81,-
OPTFUT,10 Jun 2024,3724212,21622502.99,-
OPTFUT,11 Jun 2024,3630155,21393089.3,-
FUTIDX,11 Jun 2024,130,1198.12,-
FUTCOM,11 Jun 2024,596415,2346557.04,-
FUTCOM,12 Jun 2024,715742,3081728.41,-
OPTFUT,12 Jun 2024,3857978,23106806.46,-
FUTIDX,12 Jun 2024,168,1562.22,-
OPTFUT,13 Jun 2024,4882275,29942171.67,-
FUTIDX,13 Jun 2024,261,2401.73,-
FUTCOM,13 Jun 2024,790989,3458085.43,-
FUTIDX,14 Jun 2024,168,1550.58,-
OPTFUT,14 Jun 2024,3510155,20629280.64,-
FUTCOM,14 Jun 2024,604697,2645604.95,-
FUTIDX,17 Jun 2024,90,830.17,-
OPTFUT,17 Jun 2024,1242640,6278376.12,-
FUTCOM,17 Jun 2024,335480,1339981.18,-
FUTIDX,18 Jun 2024,124,1142.91,-
OPTFUT,18 Jun 2024,2257669,11702948.53,-
FUTCOM,18 Jun 2024,578020,2618316.73,-
OPTFUT,19 Jun 2024,1717648,8944659.35,-
FUTCOM,19 Jun 2024,356856,1572014.69,-
FUTIDX,19 Jun 2024,61,564.4,-
OPTFUT,20 Jun 2024,2348551,12927433.29,-
FUTCOM,20 Jun 2024,638067,2955184.32,-
FUTIDX,20 Jun 2024,260,2431.49,-
OPTFUT,21 Jun 2024,2262599,13852799.39,-
FUTCOM,21 Jun 2024,717379,3219623.69,-
FUTIDX,21 Jun 2024,298,2780.43,-
FUTIDX,24 Jun 2024,145,1342.19,-
FUTCOM,24 Jun 2024,424633,1697474.85,-
OPTFUT,24 Jun 2024,1617106,11252466.46,-
FUTIDX,25 Jun 2024,342,3151.04,-
FUTCOM,25 Jun 2024,475709,2280774.62,-
OPTFUT,25 Jun 2024,1726581,14148714.97,-
OPTFUT,26 Jun 2024,2042068,15494508.89,-
FUTIDX,26 Jun 2024,427,3902.06,-
FUTCOM,26 Jun 2024,499740,2356296.91,-
FUTIDX,27 Jun 2024,182,1663.96,-
OPTFUT,27 Jun 2024,1668455,10312191.35,-
FUTCOM,27 Jun 2024,475200,2109726.16,-
FUTCOM,28 Jun 2024,483065,2404897.95,-
OPTFUT,28 Jun 2024,1793101,11164259.37,-
FUTIDX,28 Jun 2024,106,976.04,-
FUTIDX,01 Jul 2024,112,1029.81,-
OPTFUT,01 Jul 2024,1935890,12083171.32,-
FUTCOM,01 Jul 2024,407962,1942065.21,-
OPTFUT,02 Jul 2024,1918003,12313669.85,-
FUTIDX,02 Jul 2024,77,709.04,-
FUTCOM,02 Jul 2024,430678,1910024.66,-
FUTCOM,03 Jul 2024,566475,2585154.87,-
FUTIDX,03 Jul 2024,238,2212.47,-
OPTFUT,03 Jul 2024,1966242,13418389.61,-
FUTIDX,04 Jul 2024,64,596.97,-
OPTFUT,04 Jul 2024,1381713,8393989.46,-
FUTCOM,04 Jul 2024,306510,1278764.62,-
OPTFUT,05 Jul 2024,1921536,12901140.29,-
FUTIDX,05 Jul 2024,237,2225.85,-
FUTCOM,05 Jul 2024,603015,2697364.21,-
FUTCOM,08 Jul 2024,472139,2076829.1,-
FUTIDX,08 Jul 2024,164,1538.04,-
OPTFUT,08 Jul 2024,2216247,14485300.63,-
FUTIDX,09 Jul 2024,71,664.96,-
OPTFUT,09 Jul 2024,3115304,19765021.23,-
FUTCOM,09 Jul 2024,486427,1987966.69,-
OPTFUT,10 Jul 2024,3391399,21531355.35,-
FUTCOM,10 Jul 2024,456079,1898436.65,-
FUTIDX,10 Jul 2024,117,1099.64,-
FUTIDX,11 Jul 2024,124,1171.61,-
FUTCOM,11 Jul 2024,529963,2689511.67,-
OPTFUT,11 Jul 2024,3694748,24912887.78,-
FUTCOM,12 Jul 2024,543267,2411925.54,-
OPTFUT,12 Jul 2024,3856845,25279983.72,-
FUTIDX,12 Jul 2024,107,1008.29,-
FUTIDX,15 Jul 2024,100,944.81,-
OPTFUT,15 Jul 2024,4051109,26171291.48,-
FUTCOM,15 Jul 2024,482337,1999613.21,-
FUTCOM,16 Jul 2024,572677,2684161.34,-
FUTIDX,16 Jul 2024,112,1064.33,-
OPTFUT,16 Jul 2024,4779570,31386219.96,-
FUTCOM,17 Jul 2024,526801,2159892.75,-
FUTIDX,17 Jul 2024,108,1028.64,-
OPTFUT,17 Jul 2024,2885377,17865997.46,-
FUTIDX,18 Jul 2024,66,627.88,-
OPTFUT,18 Jul 2024,2188462,12028642.81,-
FUTCOM,18 Jul 2024,522953,2188259.72,-
OPTFUT,19 Jul 2024,2407775,14731975.81,-
FUTCOM,19 Jul 2024,593253,2837678.48,-
FUTIDX,19 Jul 2024,194,1816.03,-
FUTCOM,22 Jul 2024,535117,2430251.59,-
FUTIDX,22 Jul 2024,52,482.94,-
OPTFUT,22 Jul 2024,2466502,13671739.75,-
FUTCOM,23 Jul 2024,915178,6263887.17,-
OPTFUT,23 Jul 2024,2930929,20864274.33,-
FUTIDX,23 Jul 2024,537,4810.3,-
FUTCOM,24 Jul 2024,556479,2569066.6,-
FUTIDX,24 Jul 2024,219,1931.46,-
OPTFUT,24 Jul 2024,2415344,15727798.16,-
OPTFUT,25 Jul 2024,2529615,18280924.31,-
FUTIDX,25 Jul 2024,355,3055.29,-
FUTCOM,25 Jul 2024,723991,3592486.75,-
FUTCOM,26 Jul 2024,446947,2142124.5,-
OPTFUT,26 Jul 2024,1996405,12249513.91,-
FUTIDX,26 Jul 2024,73,629.01,-
FUTCOM,29 Jul 2024,551217,2523395.83,-
FUTIDX,29 Jul 2024,52,450.04,-
OPTFUT,29 Jul 2024,2616005,15499246.45,-
OPTFUT,30 Jul 2024,2123267,12071233.36,-
FUTIDX,30 Jul 2024,62,538.91,-
FUTCOM,30 Jul 2024,532317,2209956.4,-
FUTCOM,31 Jul 2024,511758,1937634.27,-
OPTFUT,31 Jul 2024,2771997,16121954.29,-
FUTIDX,31 Jul 2024,53,465.14,-
FUTCOM,01 Aug 2024,657525,2664271.68,-
OPTFUT,01 Aug 2024,2788469,16693167.62,-
FUTIDX,01 Aug 2024,82,723.76,-
OPTFUT,02 Aug 2024,3545603,21389823.51,-
FUTCOM,02 Aug 2024,851465,3607335.91,-
FUTIDX,02 Aug 2024,112,990.57,-
FUTCOM,05 Aug 2024,1003135,4205288.86,-
OPTFUT,05 Aug 2024,3648801,21680037.52,-
FUTIDX,05 Aug 2024,159,1383.82,-
OPTFUT,06 Aug 2024,3547450,20301775.77,-
FUTCOM,06 Aug 2024,742828,2769072.1,-
FUTIDX,06 Aug 2024,43,371.23,-
FUTIDX,07 Aug 2024,54,465.19,-
FUTCOM,07 Aug 2024,600431,2072267.34,-
OPTFUT,07 Aug 2024,3569999,20589890.26,-
FUTCOM,08 Aug 2024,715568,2557278.23,-
FUTIDX,08 Aug 2024,159,1377.49,-
OPTFUT,08 Aug 2024,3782852,21412332.76,-
OPTFUT,09 Aug 2024,3199474,17745795.28,-
FUTIDX,09 Aug 2024,82,714.65,-
FUTCOM,09 Aug 2024,548257,2093469.78,-
FUTCOM,12 Aug 2024,636807,2586560.28,-
OPTFUT,12 Aug 2024,3918212,22445615.65,-
FUTIDX,12 Aug 2024,103,904.22,-
OPTFUT,13 Aug 2024,5512135,33212341.11,-
FUTIDX,13 Aug 2024,26,229.01,-
FUTCOM,13 Aug 2024,569905,2258180.9,-
FUTCOM,14 Aug 2024,752236,2955508.89,-
OPTFUT,14 Aug 2024,4136994,23332784.0,-
FUTIDX,14 Aug 2024,121,1063.07,-
FUTIDX,16 Aug 2024,191,1693.33,-
FUTCOM,16 Aug 2024,767201,3238752.65,-
OPTFUT,16 Aug 2024,2205339,12073346.25,-
OPTFUT,19 Aug 2024,2671741,13474345.17,-
FUTIDX,19 Aug 2024,86,770.45,-
FUTCOM,19 Aug 2024,644843,2339158.59,-
OPTFUT,20 Aug 2024,3193644,15741658.42,-
FUTIDX,20 Aug 2024,59,532.35,-
FUTCOM,20 Aug 2024,705172,2939516.91,-
OPTFUT,21 Aug 2024,3126419,15478101.49,-
FUTCOM,21 Aug 2024,543547,2209116.57,-
FUTIDX,21 Aug 2024,31,279.62,-
FUTCOM,22 Aug 2024,712469,2963545.2,-
OPTFUT,22 Aug 2024,3574881,16462841.0,-
FUTIDX,22 Aug 2024,70,628.04,-
OPTFUT,23 Aug 2024,2409098,14556246.4,-
FUTIDX,23 Aug 2024,146,1313.29,-
FUTCOM,23 Aug 2024,760796,2913278.38,-
OPTFUT,26 Aug 2024,2416398,17707747.09,-
FUTIDX,26 Aug 2024,65,589.07,-
FUTCOM,26 Aug 2024,629130,2430199.98,-
FUTIDX,27 Aug 2024,189,1710.1,-
OPTFUT,27 Aug 2024,2301818,16216407.0,-
FUTCOM,27 Aug 2024,456898,2031804.23,-
FUTIDX,28 Aug 2024,29,261.35,-
OPTFUT,28 Aug 2024,2981540,17145194.36,-
FUTCOM,28 Aug 2024,604292,2608813.63,-
OPTFUT,29 Aug 2024,3192122,18336571.01,-
FUTIDX,29 Aug 2024,18,162.66,-
FUTCOM,29 Aug 2024,625248,2750699.92,-
OPTFUT,30 Aug 2024,3303200,18989192.46,-
FUTIDX,30 Aug 2024,34,305.49,-
FUTCOM,30 Aug 2024,654920,2847271.61,-
FUTCOM,02 Sep 2024,359155,1319278.8,-
FUTIDX,02 Sep 2024,13,116.07,-
OPTFUT,02 Sep 2024,2270446,12530178.88,257962.73
FUTCOM,03 Sep 2024,740013,2873057.13,-
FUTIDX,03 Sep 2024,59,524.67,-
OPTFUT,03 Sep 2024,4050851,22321984.95,471456.48
OPTFUT,04 Sep 2024,4084667,21606305.94,459998.46
FUTCOM,04 Sep 2024,687946,2478261.23,-
FUTIDX,04 Sep 2024,57,506.49,-
FUTCOM,05 Sep 2024,743996,2850763.57,-
